ResumeText,JobDescription,IsMatch
"Experienced in Java, OOP, SQL, Git. Worked on several related projects.",Junior Java developer with SQL and OOP,1
"Experienced in C# .NET, SQL, ASP.NET, Azure. Worked on several related projects.",".NET backend developer with C#, SQL, Azure",1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Experienced in Flutter, Dart, Firebase. Worked on several related projects.",Mobile developer with Flutter and Firebase,1
"Background in Graphic design, Photoshop.",Looking for a data analyst with Python,0
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Java, OOP, SQL, Git. Worked on several related projects.",Junior Java developer with SQL and OOP,1
"Experienced in Flutter, Dart, Firebase. Worked on several related projects.",Mobile developer with Flutter and Firebase,1
"Experienced in Python, Excel, Power BI. Worked on several related projects.",Data analyst with Excel and Power BI,1
"Experienced in Flutter, Dart, Firebase. Worked on several related projects.",Mobile developer with Flutter and Firebase,1
"Experienced in Unity, C#, Game Design. Worked on several related projects.",Game developer with Unity and C#,1
"Experienced in Java, OOP, SQL, Git. Worked on several related projects.",Junior Java developer with SQL and OOP,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in Python, Excel, Power BI. Worked on several related projects.",Data analyst with Excel and Power BI,1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Unity, C#, Game Design. Worked on several related projects.",Game developer with Unity and C#,1
"Experienced in Unity, C#, Game Design. Worked on several related projects.",Game developer with Unity and C#,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Python, Excel, Power BI. Worked on several related projects.",Data analyst with Excel and Power BI,1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Background in Photography, lighting.",Looking for backend developer,0
"Experienced in C# .NET, SQL, ASP.NET, Azure. Worked on several related projects.",".NET backend developer with C#, SQL, Azure",1
"Background in Chef, cooking, food prep.",Frontend React engineer needed,0
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in Java, OOP, SQL, Git. Worked on several related projects.",Junior Java developer with SQL and OOP,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Background in Photography, lighting.",Looking for backend developer,0
"Experienced in Python, Excel, Power BI. Worked on several related projects.",Data analyst with Excel and Power BI,1
"Experienced in C# .NET, SQL, ASP.NET, Azure. Worked on several related projects.",".NET backend developer with C#, SQL, Azure",1
"Experienced in PMP, Agile, Scrum, Leadership. Worked on several related projects.",Project manager with PMP and Agile experience,1
"Experienced in PMP, Agile, Scrum, Leadership. Worked on several related projects.",Project manager with PMP and Agile experience,1
"Experienced in Java, OOP, SQL, Git. Worked on several related projects.",Junior Java developer with SQL and OOP,1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in C# .NET, SQL, ASP.NET, Azure. Worked on several related projects.",".NET backend developer with C#, SQL, Azure",1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in C# .NET, SQL, ASP.NET, Azure. Worked on several related projects.",".NET backend developer with C#, SQL, Azure",1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
Background in Teaching English.,Scrum master and agile team leader,0
"Experienced in JavaScript, React, HTML, CSS. Worked on several related projects.",Front-end React developer with JavaScript,1
Background in Teaching English.,Scrum master and agile team leader,0
"Experienced in JavaScript, React, HTML, CSS. Worked on several related projects.",Front-end React developer with JavaScript,1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Background in Chef, cooking, food prep.",Frontend React engineer needed,0
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in Java, OOP, SQL, Git. Worked on several related projects.",Junior Java developer with SQL and OOP,1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Python, Excel, Power BI. Worked on several related projects.",Data analyst with Excel and Power BI,1
"Experienced in Unity, C#, Game Design. Worked on several related projects.",Game developer with Unity and C#,1
"Experienced in C# .NET, SQL, ASP.NET, Azure. Worked on several related projects.",".NET backend developer with C#, SQL, Azure",1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in Unity, C#, Game Design. Worked on several related projects.",Game developer with Unity and C#,1
"Experienced in JavaScript, React, HTML, CSS. Worked on several related projects.",Front-end React developer with JavaScript,1
"Experienced in Python, Excel, Power BI. Worked on several related projects.",Data analyst with Excel and Power BI,1
"Background in Photography, lighting.",Looking for backend developer,0
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Background in Chef, cooking, food prep.",Frontend React engineer needed,0
"Background in Chef, cooking, food prep.",Frontend React engineer needed,0
"Experienced in C# .NET, SQL, ASP.NET, Azure. Worked on several related projects.",".NET backend developer with C#, SQL, Azure",1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Linux, Networking, Security. Worked on several related projects.",System administrator with Linux knowledge,1
"Experienced in Salesforce, CRM, Communication. Worked on several related projects.",Salesforce specialist with CRM expertise,1
"Experienced in Java, OOP, SQL, Git. Worked on several related projects.",Junior Java developer with SQL and OOP,1
"Experienced in Unity, C#, Game Design. Worked on several related projects.",Game developer with Unity and C#,1
"Background in Photography, lighting.",Looking for backend developer,0
"Experienced in Flutter, Dart, Firebase. Worked on several related projects.",Mobile developer with Flutter and Firebase,1
"Experienced in Adobe XD, Figma, UX Design. Worked on several related projects.",UI/UX designer with prototyping experience,1
